eval_returns_Average,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-89.51207,39.089775,-20.545288,-162.63663,301.0,-170.63708,0.0,-170.63708,-170.63708,301.0,None,-170.63708
-54.973278,63.00189,37.442593,-192.17496,301.0,-61.384865,0.0,-61.384865,-61.384865,301.0,15.293192863464355,-170.63708
188.00243,79.70316,319.1917,27.693932,301.0,130.3411,0.0,130.3411,130.3411,301.0,11.48886489868164,-170.63708
413.25195,51.7716,495.99237,332.89673,301.0,487.5852,0.0,487.5852,487.5852,301.0,0.03748407959938049,-170.63708
580.67474,150.24944,740.47754,206.4708,301.0,696.7075,0.0,696.7075,696.7075,301.0,1.79280424118042,-170.63708
821.1661,38.39968,869.2945,731.2727,301.0,803.3967,0.0,803.3967,803.3967,301.0,-3.5839879512786865,-170.63708
865.16943,24.473759,922.5985,823.6422,301.0,856.32544,0.0,856.32544,856.32544,301.0,-7.53053092956543,-170.63708
863.91223,28.778818,918.2066,811.0167,301.0,880.32367,0.0,880.32367,880.32367,301.0,-18.620832443237305,-170.63708
928.61084,44.361584,991.50574,852.30585,301.0,1000.7086,0.0,1000.7086,1000.7086,301.0,-20.04392433166504,-170.63708
972.7995,28.397503,1029.3457,911.06775,301.0,999.5317,0.0,999.5317,999.5317,301.0,-18.578336715698242,-170.63708
981.15955,20.28341,1009.8183,928.50616,301.0,1015.2855,0.0,1015.2855,1015.2855,301.0,-24.1170711517334,-170.63708
1003.3999,32.07938,1055.5195,965.14355,301.0,1021.62915,0.0,1021.62915,1021.62915,301.0,-22.070302963256836,-170.63708
1065.6135,32.477005,1146.0579,1009.52124,301.0,1080.0284,0.0,1080.0284,1080.0284,301.0,-26.972055435180664,-170.63708
1092.8049,32.76321,1148.1759,1048.093,301.0,1044.5459,0.0,1044.5459,1044.5459,301.0,-24.52083396911621,-170.63708
1091.3995,59.899284,1196.1951,956.211,301.0,1059.1692,0.0,1059.1692,1059.1692,301.0,-30.847742080688477,-170.63708
1061.4468,45.825462,1147.9116,968.71735,301.0,1034.5337,0.0,1034.5337,1034.5337,301.0,-23.221128463745117,-170.63708
